Country, Country Code, Network, Outbound Message Costs
,,Movistar,0.8
Guernsey,44,,
,,Cable & Wireless,0.8
,,Wave Telecom,0.8
Guinea,224,,
,,Areeba (MTN),0.8
,,INTERCEL Guinée (Telecel Guinee),1.5
,,Orange (Spacetel),0.8
,,Sotelgui,1
Guyana,592,,
,,"Digicel (Umobile, Celstar)",0.8
,,Telephone & Telegraph Co,0.8
Haiti,509,,
,,Comcel,0.8
,,Digicel,0.8
Honduras,504,,
,,Celtel (Millicom),0.8
,,Sercom (Claro),0.8
HongKong,852,,
,,CSL,0.8
,,Hong Kong Telecommunications (HKT) Limited (PCCW),0.8
,,Hutchison (CDMA),0.8
,,Hutchison (Orange 2G),0.8
,,Hutchison 3G,0.8
,,New World PCS,0.8
,,Peoples,0.8
,,SmarTone,0.8
Hungary,36,,
,,Magyar Telekom (T-Mobile),0.8
,,Pannon GSM,0.8
,,Vodafone (V.R.A.M Tele.),1.5
Iceland,354,,
,,Landssimi (Siminn),0.8
,,Nova,0.8
,,Og Vodafone (Islandssimi),0.8
,,TAL,0.8
,,Viking Wireless(IMC),0.8
India,91,,
,,Aircel - Tamil Nadu,0.8
,,Aircel Cellular - Chennai,0.8
,,Aircel Digilink - Haryana,0.8
,,Aircel Digilink - Rajasthan,0.8
,,Aircel Digilink - Uttar Pradesh East,0.8
,,Bharti Airtel - Andhra Pradesh,0.8
,,Bharti Airtel - Assam,0.8
,,Bharti Airtel - Bihar & Jharkhand,0.8
,,Bharti Airtel - Chennai,0.8
,,Bharti Airtel - Delhi,0.8
,,Bharti Airtel - Gujarat,0.8
,,Bharti Airtel - Haryana,0.8
,,Bharti Airtel - Himachal Pradesh,0.8
,,Bharti Airtel - Jammu & Kashmir,0.8
,,Bharti Airtel - Karnataka,0.8
,,Bharti Airtel - Kerala,0.8
,,Bharti Airtel - Kolkata,0.8
,,Bharti Airtel - Madhya Pradesh,0.8
,,Bharti Airtel - Maharashtra,0.8
,,Bharti Airtel - Mumbai,0.8
,,Bharti Airtel - North East India,0.8
,,Bharti Airtel - Orissa,0.8
,,Bharti Airtel - Punjab,0.8
,,Bharti Airtel - Rajasthan,0.8
,,Bharti Airtel - TamilNadu,0.8
,,Bharti Airtel - Uttar Pradesh East,0.8
,,Bharti Airtel - Uttar Pradesh West,0.8
,,Bharti Airtel - West Bengal An.Ni.,0.8
,,BPL Cellular - Kerala,0.8
,,BPL Cellular - Maharashtra,0.8
,,BPL Cellular - TamilNadu,0.8
,,BPL Mobile - Mumbai,0.8
,,BSNL - Andhra Pradesh,0.8
,,BSNL - Assam,0.8
,,BSNL - Bihar & Jharkhand,0.8
,,BSNL - Chennai,0.8
,,BSNL - Gujarat,0.8
,,BSNL - Haryana,0.8
,,BSNL - Himachal Pradesh,0.8
,,BSNL - Jammu & Kashmir,0.8
,,BSNL - Karnataka,0.8
,,BSNL - Kerala,0.8
,,BSNL - Kolkata,0.8
,,BSNL - Madhya Pradesh,0.8
,,BSNL - Maharashtra,0.8
